Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,76858506,9845.68887118237,4639259,570357,1711498,219.24543799551458,79931,11496,
United States of America,Americas,17895109,54063.34,1649733,182819,317032,957.79,18438,1714,Community transmission
India,South-East Asia,10099066,7318.14,166519,23950,146444,106.12,2348,333,Clusters of cases
Brazil,Americas,7263619,34172.18,336474,25019,187291,881.12,5456,527,Community transmission
Russian Federation,Europe,2933753,20103.22,199299,27250,52461,359.48,3897,549,Clusters of cases
France,Europe,2448543,37512.05,98336,11670,61326,939.52,2626,801,Community transmission
The United Kingdom,Europe,2110318,31086.2,222198,36803,68307,1006.2,3399,691,Community transmission
Italy,Europe,1977370,32704.44,106794,13316,69842,1155.14,3985,628,Clusters of cases
Spain,Europe,1829903,39138.31,56559,5525,49520,1059.14,653,24,Community transmission
Germany,Europe,1554920,18558.69,175682,24740,27968,333.81,4541,962,Clusters of cases
Argentina,Americas,1547138,34231.92,43916,5853,41997,929.22,956,184,Community transmission
Colombia,Americas,1518067,29834.53,83551,10845,40680,799.48,1485,205,Community transmission
Mexico,Americas,1325915,10283.77,69941,5370,118598,919.84,4300,396,Community transmission
Turkey,Europe,1248622,14804.79,164513,19256,18602,220.56,1721,251,Community transmission
Poland,Europe,1226883,32417.25,66982,12358,26255,693.72,2341,472,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1170743,13938.59,47269,6208,54003,642.95,1333,187,Community transmission
Peru,Americas,998475,30282.65,12345,958,37173,1127.42,419,70,Community transmission
Ukraine,Europe,989642,22628.79,69938,10136,17172,392.65,1428,275,Community transmission
South Africa,Africa,940212,15852.85,66533,9501,25246,425.67,1585,339,Community transmission
Netherlands,Europe,710739,41479.1,82497,9872,10633,620.55,473,116,Community transmission
